job_id,company_id,company,location,country,required_skill,experience_level
3757940104,553718,HearingLife,Little River,US,Other,2
3757940025,2192142,Metalcraft of Mayville Inc.,Beaver Dam,US,"Management, Manufacturing",7
3757938019,474443,U.S. Tsubaki Power Transmission LLC,Bessemer,US,Engineering,7
3757938018,18213359,Episcopal Communities Services,Aliso Viejo,US,"Management, Manufacturing",2
3757937004,10515052,Boyd Group Services Inc.,Daytona Beach,CA,"Management, Manufacturing",2
3757936167,2915,Acme Markets,Sussex,US,"Sales, Business Development",4
3757936097,18213359,Episcopal Communities Services,Aliso Viejo,US,"Management, Manufacturing",2
3757935384,232541,Sigma Technologies Ltd.,Hammond,US,"Design, Art/Creative, Information Technology",7
3757935111,2073870,Appen,Texas,US,Information Technology,5
3757935026,16223627,Adelphi Medical Staffing LLC,Toms River,US,Health Care Provider,7
3757935025,99500291,Vet Doc Hospitals,St Clair Shores,US,Health Care Provider,4
3757935012,18583501,Stealth Startup,New York,US,Information Technology,3
3757935011,82556159,My Travel Connection,Raleigh,US,"Sales, Business Development",2
3757935010,82556159,My Travel Connection,Hartford,US,"Sales, Business Development",2
3757935003,18583501,Stealth Startup,Minden,US,"Sales, Business Development",4
3757935001,73013724,J. Galt,Coeur d'Alene,US,"Sales, Business Development",4
3757934944,18270206,TAL Building Centers,La Grande,US,"Sales, Business Development",7
3757934630,36749,Torrid,Fox River Grove,US,"Sales, Customer Service",4
3757934539,2192142,Metalcraft of Mayville Inc.,Mayville,US,"Management, Manufacturing",7
3757934423,18213359,Episcopal Communities Services,Altadena,US,"Management, Manufacturing",2
3757934347,10515052,Boyd Group Services Inc.,Waukesha,CA,"Engineering, Information Technology",2
3757934327,99500291,Vet Doc Hospitals,Denver,US,Health Care Provider,4
3757934320,1997035,NOVALINK SOLUTIONS LLC,Nashville,US,"Research, Analyst, Information Technology",4
3757934319,18391435,headhuntress.com,Orlando,US,"Engineering, Information Technology",4
3757934318,6577380,Conexwest,Oakland,US,"Management, Manufacturing",4
3757934312,18583501,Stealth Startup,Minden,US,"Sales, Business Development",3
3757934299,213591,The Program,Portland,US,"Design, Art/Creative, Information Technology",7
3757934287,91313799,Stealth,Florence,US,Engineering,4
3757934282,91313799,Stealth,Florence,US,Engineering,4
3757934281,2238,Danone,Broomfield,FR,"Strategy/Planning, General Business, Management",4
3757934267,28352,CoreMark International,Swedesboro,US,"Management, Manufacturing",2
3757934264,73013724,J. Galt,Richmond,US,"Sales, Business Development",4
3757934256,213591,The Program,Portland,US,"Design, Art/Creative, Information Technology",7
3757934178,73013724,J. Galt,Rapid City,US,"Sales, Business Development",4
3757934003,73013724,J. Galt,Yuma,US,"Sales, Business Development",4
3757933524,37261405,Maxima Therapy,Los Angeles,US,Health Care Provider,7
3757933458,99500291,Vet Doc Hospitals,Santa Rosa,US,Health Care Provider,4
3757933450,6577380,Conexwest,Lathrop,US,"Management, Manufacturing",7
3757933435,73013724,J. Galt,Sheboygan,US,"Sales, Business Development",4
3757933320,213591,The Program,Portland,US,"Marketing, Public Relations, Writing/Editing",7
3757933252,73013724,J. Galt,Urbana-Champaign Area,US,"Sales, Business Development",4
3757932930,2073870,Appen,Texas,US,Other,5
3757932856,166572,Ulta Beauty,Mays Landing,US,"Management, Manufacturing",7
3757932846,10515052,Boyd Group Services Inc.,Marietta,CA,"Management, Manufacturing",4
3757932826,99500291,Vet Doc Hospitals,Pittsburgh,US,Health Care Provider,4
3757932813,6577380,Conexwest,Lathrop,US,"Management, Manufacturing",7
3757932805,18583501,Stealth Startup,Greater Sacramento,US,"Sales, Business Development",3
3757932799,73013724,J. Galt,Chico,US,"Sales, Business Development",4
3757932775,79098833,Vertivert Inc,Omaha,US,Health Care Provider,7
3757932761,91313799,Stealth,Omaha,US,Administrative,7
3757932742,79098833,Vertivert Inc,New Jersey,US,Engineering,4
3757932736,73013724,J. Galt,Philadelphia,US,"Sales, Business Development",4
3757932732,100254113,Supertrades LLC,New York,US,"Sales, Business Development",7
3757932726,1815218,Uber,New York,US,"Management, Manufacturing",4
3757932725,1815218,Uber,San Francisco,US,"Management, Manufacturing",4
3757932471,73013724,J. Galt,Charlottesville,US,"Sales, Business Development",4
3757932015,73013724,J. Galt,New York City,US,"Sales, Business Development",4
3757931926,9596847,VONS,El Centro,US,Health Care Provider,4
3757931895,2073870,Appen,Bellevue,US,"Management, Manufacturing",4
3757931835,10515052,Boyd Group Services Inc.,Milwaukee,CA,"Engineering, Information Technology",2
3757931831,12961970,Barrington Residential,Rochester,US,"Management, Manufacturing",7
